Chapter; Section # ; Section Name; Subsection ; Sub-subsection ; Sub-Sub-subsection ; Text 
1;1; Republic of South Africa ; ; ;; The Republic of South Africa is one, sovereign, democratic state founded on the following values: 
1;1; Republic of South Africa ; a ; ;; Human dignity, the achievement of equality and the advancement of human rights and freedoms
1;1; Republic of South Africa ; b ; ;; Non-racism and non-sexism
1;1; Republic of South Africa ; c ; ;; Supremacy of the constitution and the rule of law
1;1; Republic of South Africa ; d ; ;; Universal adult suffrage, a national common voters roll, regular elections and a multi-party system of democratic government, to ensure accountability, responsiveness and openness
1;2; Supremacy of Constitution ; ; ;;" This Constitution is the supreme law of the Republic; law or conduct inconsistent with it is invalid, and the obligations imposed by it must be fulfilled"
1;3; Citizenship ;1; ;; There is a common South African citizenship
1;3; Citizenship ;2; ;; All citizens are — 
1;3; Citizenship ;2; a ;;" equally entitled to the rights, privileges and benefits of citizenship; and "
1;3; Citizenship ;2; b ;; equally subject to the duties and responsibilities of citizenship
1;3; Citizenship ;3; ;; National legislation must provide for the acquisition, loss and restoration of citizenship
1;4; National anthem ; ; ;; The national anthem of the Republic is determined by the President by proclamation
1;5; National flag ; ; ;; The national flag of the Republic is black, gold, green, white, red and blue, as described and sketched in Schedule 1
1;6; Languages ;1; ;; The official languages of the Republic are Sepedi, Sesotho, Setswana, siSwati, Tshivenda, Xitsonga, Afrikaans, English, isiNdebele, isiXhosa and isiZulu
1;6; Languages ;2; ;; Recognising the historically diminished use and status of the indigenous languages of our people, the state must take practical and positive measures to elevate the status and advance the use of these languages
1;6; Languages ;3; a ;;" The national government and provincial governments may use any particular official languages for the purposes of government, taking into account usage, practicality, expense, regional circumstances and the balance of the needs and preferences of the population as a whole or in the province concerned; but the national government and each provincial government must use at least two official languages"
1;6; Languages ;3; b ;; Municipalities must take into account the language usage and preferences of their residents
1;6; Languages ;4; ;; The national government and provincial governments, by legislative and other measures, must regulate and monitor their use of official languages
1;6; Languages ;5; ;; A Pan South African Language Board established by national legislation must — 
1;6; Languages ;5; a ;; promote, and create conditions for, the development and use of — 
1;6; Languages ;5; a ; (i) ;" all official languages; "
1;6; Languages ;5; a ; (ii) ;" the Khoi, Nama and San languages; and "
1;6; Languages ;5; a ; (iii) ;" sign language; and "
1;6; Languages ;5; b ;; promote and ensure respect for — 
1;6; Languages ;5; b ; (i) ;" all languages commonly used by communities in South Africa, including German, Greek, Gujarati, Hindi, Portuguese, Tamil, Telegu and Urdu; and "
1;6; Languages ;5; b ; (ii) ; Arabic, Hebrew, Sanskrit and other languages used for religious purposes in South Africa
2;7; Rights ;1; ;; This Bill of Rights is a cornerstone of democracy in South Africa. It enshrines the rights of all people in our country and affirms the democratic values of human dignity, equality and freedom. 
2;7; Rights ;2; ;; The state must respect, protect, promote and fulfil the rights in the Bill of Rights. 
2;7; Rights ;3; ;; The rights in the Bill of Rights are subject to the limitations contained or referred to in section 36, or elsewhere in the Bill. 
2;8; Application ;1; ;; The Bill of Rights applies to all law, and binds the legislature, the executive, the judiciary and all organs of state. 
2;8; Application ;2; ;; A provision of the Bill of Rights binds a natural or a juristic person if, and to the extent that, it is applicable, taking into account the nature of the right and the nature of any duty imposed by the right. 
2;8; Application ;3; ;; When applying a provision of the Bill of Rights to a natural or juristic person in terms of subsection (2), a court – 
2;8; Application ;3; a ;;" in order to give effect to a right in the Bill, must apply, or if necessary develop, the common law to the extent that legislation does not give effect to that right; and "
2;8; Application ;3; b ;; may develop rules of the common law to limit the right, provided that the limitation is in accordance with section 36(1). 
2;8; Application ;4; ;; A juristic person is entitled to the rights in the Bill of Rights to the extent required by the nature of the rights and the nature of that juristic person. 
2;9; Equality ;1; ;; Everyone is equal before the law and has the right to equal protection and benefit of the law. 
2;9; Equality ;2; ;; Equality includes the full and equal enjoyment of all rights and freedoms. 
2;9; Equality ;3; ;; The state may not unfairly discriminate directly or indirectly against anyone on one or more grounds, including race, gender, sex, pregnancy, marital status, ethnic or social origin, colour, sexual orientation, age, disability, religion, conscience, belief, culture, language and birth. 
2;9; Equality ;4; ;; No person may unfairly discriminate directly or indirectly against anyone on one or more grounds in terms of subsection (3). 
2;9; Equality ;5; ;; National legislation must be enacted to prevent or prohibit unfair discrimination. 
2;9; Equality ;6; ;; Discrimination on one or more of the grounds listed in subsection (3) is unfair unless it is established that the discrimination is fair. 
2;10; Human dignity ; ; ;; Everyone has inherent dignity and the right to have their dignity respected and protected. 
2;11; Life ; ; ;; Everyone has the right to life. 
2;12; Freedom and security of the person ;1; ;; Everyone has the right to freedom and security of the person, which includes the right – 
2;12; Freedom and security of the person ;1; a ;;" not to be deprived of freedom arbitrarily or without just cause; "
2;12; Freedom and security of the person ;1; b ;;" not to be detained without trial; "
2;12; Freedom and security of the person ;1; c ;;" to be free from all forms of violence from either public or private sources; "
2;12; Freedom and security of the person ;1; d ;;" not to be tortured in any way; and "
2;12; Freedom and security of the person ;1; e ;; not to be treated or punished in a cruel, inhuman or degrading way. 
2;12; Freedom and security of the person ;2; ;; Everyone has the right to bodily and psychological integrity, which includes the right – 
2;12; Freedom and security of the person ;2; a ;;" to make decisions concerning reproduction; "
2;12; Freedom and security of the person ;2; b ;;" to security in and control over their body; and "
2;12; Freedom and security of the person ;2; c ;; not to be subjected to medical or scientific experiments without their informed consent. 
2;13; Slavery, servitude and forced labour ; ; ;; No one may be subjected to slavery, servitude or forced labour. 
2;14; Privacy ;1; ;; Everyone has the right to privacy, which includes the right not to have – 
2;14; Privacy ;1; a ;;" their person or home searched; "
2;14; Privacy ;1; b ;;" their property searched; "
2;14; Privacy ;1; c ;;" their possessions seized; or "
2;14; Privacy ;1; d ;; the privacy of their communications infringed. 
2;15; Freedom of religion, belief and opinion ;1; ;; Everyone has the right to freedom of conscience, religion, thought, belief and opinion. 
2;15; Freedom of religion, belief and opinion ;2; ;; Religious observances may be conducted at state or state‑aided institutions, provided that – 
2;15; Freedom of religion, belief and opinion ;2; a ;;" those observances follow rules made by the appropriate public authorities; "
2;15; Freedom of religion, belief and opinion ;2; b ;;" they are conducted on an equitable basis; and "
2;15; Freedom of religion, belief and opinion ;2; c ;; attendance at them is free and voluntary. 
2;15; Freedom of religion, belief and opinion ;3; ;; This section does not prevent legislation recognising – 
2;15; Freedom of religion, belief and opinion ;3; a ;;" marriages concluded under any tradition, or a system of religious, personal or family law; or "
2;15; Freedom of religion, belief and opinion ;3; b ;; systems of personal and family law under any tradition, or adhered to by persons professing a particular religion. 
2;15; Freedom of religion, belief and opinion ;4; ;; Recognition in terms of paragraph (a) must be consistent with this section and the other provisions of the Constitution. 
2;16; Freedom of expression ;1; ;; Everyone has the right to freedom of expression, which includes – 
2;16; Freedom of expression ;1; a ;;" freedom of the press and other media; "
2;16; Freedom of expression ;1; b ;;" freedom to receive or impart information or ideas; "
2;16; Freedom of expression ;1; c ;;" freedom of artistic creativity; and "
2;16; Freedom of expression ;1; d ;; academic freedom and freedom of scientific research. 
2;16; Freedom of expression ;2; ;; The right in subsection (1) does not extend to – 
2;16; Freedom of expression ;2; a ;;" propaganda for war; "
2;16; Freedom of expression ;2; b ;;" incitement of imminent violence; or "
2;16; Freedom of expression ;2; c ;; advocacy of hatred that is based on race, ethnicity, gender or religion, and that constitutes incitement to cause harm. 
2;17; Assembly, demonstration, picket and petition ; ; ;; Everyone has the right, peacefully and unarmed, to assemble, to demonstrate, to picket and to present petitions. 
2;18; Freedom of association ; ; ;; Everyone has the right to freedom of association. 
2;19; Political rights ;1; ;; Every citizen is free to make political choices, which includes the right – 
2;19; Political rights ; ; a ;;" to form a political party; "
2;19; Political rights ; ; b ;;" to participate in the activities of, or recruit members for, a political party; and "
2;19; Political rights ; ; c ;; to campaign for a political party or cause. 
2;19; Political rights ;2; ;; Every citizen has the right to free, fair and regular elections for any legislative body established in terms of the Constitution. 
2;19; Political rights ;3; ;; Every adult citizen has the right – 
2;19; Political rights ; ; a ;;" to vote in elections for any legislative body established in terms of the Constitution, and to do so in secret; and "
2;19; Political rights ; ; b ;; to stand for public office and, if elected, to hold office. 
2;20; Citizenship ; ; ;; No citizen may be deprived of citizenship. 
2;21; Freedom of movement and residence ;1; ;; Everyone has the right to freedom of movement. 
2;21; Freedom of movement and residence ;2; ;; Everyone has the right to leave the Republic. 
2;21; Freedom of movement and residence ;3; ;; Every citizen has the right to enter, to remain in and to reside anywhere in, the Republic. 
2;21; Freedom of movement and residence ;4; ;; Every citizen has the right to a passport. 
2;22; Freedom of trade, occupation and profession ;1; ;; Every citizen has the right to choose their trade, occupation or profession freely. 
2;22; Freedom of trade, occupation and profession ;2; ;; The practice of a trade, occupation or profession may be regulated by law. 
2;23; Labour relations ;1; ;; Everyone has the right to fair labour practices. 
2;23; Labour relations ;2; ;; Every worker has the right – 
2;23; Labour relations ;2; a ;;" to form and join a trade union; "
2;23; Labour relations ;2; b ;;" to participate in the activities and programmes of a trade union; and "
2;23; Labour relations ;2; c ;; to strike. 
2;23; Labour relations ;3; ;; Every employer has the right – 
2;23; Labour relations ;3; a ;;" to form and join an employers’ organisation; and "
2;23; Labour relations ;3; b ;; to participate in the activities and programmes of an employers’ organisation. 
2;23; Labour relations ;4; ;; Every trade union and every employers’ organisation has the right – 
2;23; Labour relations ;4; a ;;" to determine its own administration, programmes and activities; "
2;23; Labour relations ;4; b ;;" to organise; and "
2;23; Labour relations ;4; c ;; to form and join a federation. 
2;23; Labour relations ;5; ;; Every trade union, employers’ organisation and employer has the right to engage in collective bargaining. 
2;23; Labour relations ;6; ;; National legislation may be enacted to regulate collective bargaining. To the extent that the legislation may limit a right in this Chapter, the limitation must comply with section 36(1). 
2;23; Labour relations ;7; ;; National legislation may recognise union security arrangements contained in collective agreements. To the extent that the legislation may limit a right in this Chapter, the limitation must comply with section 36(1). 
2;24; Environment ;1; ;; Everyone has the right – 
2;24; Environment ;1; a ;;" to an environment that is not harmful to their health or well‑being; and "
2;24; Environment ;1; b ;; to have the environment protected, for the benefit of present and future generations, through reasonable legislative and other measures that – 
2;24; Environment ;1; b ; (i) ;" prevent pollution and ecological degradation; "
2;24; Environment ;1; b ; (ii) ;" promote conservation; and "
2;24; Environment ;1; b ; (iii) ; secure ecologically sustainable development and use of natural resources while promoting justifiable economic and social development. 
2;25; Property ;1; ;; No one may be deprived of property except in terms of law of general application, and no law may permit arbitrary deprivation of property. 
2;25; Property ;2; ;; Property may be expropriated only in terms of law of general application – 
2;25; Property ;2; a ;;" for a public purpose or in the public interest; and "
